Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
62614,Астана,Шымкент,2024-12-15,2024-12-28 16:50,2024-12-28 18:45,False,True,16:50-18:45,FlyArystan,115
53143,Астана,Шымкент,2024-12-15,2024-12-29 23:20,2024-12-30 01:00,False,True,23:20-01:00,SCAT,100
62159,Астана,Шымкент,2024-12-15,2024-12-29 22:50,2024-12-30 00:40,False,True,22:50-00:40,FlyArystan,110
60059,Астана,Шымкент,2024-12-15,2024-12-30 08:10,2024-12-30 10:00,False,False,08:10-10:00,SCAT,110
60059,Астана,Шымкент,2024-12-15,2024-12-30 14:10,2024-12-30 15:40,False,False,14:10-15:40,SCAT,90
45514,Астана,Шымкент,2024-12-15,2024-12-31 23:20,2025-01-01 01:00,False,False,23:20-01:00,SCAT,100
62159,Астана,Шымкент,2024-12-15,2024-12-31 16:50,2024-12-31 18:45,False,False,16:50-18:45,FlyArystan,115
34431,Астана,Шымкент,2024-12-15,2025-01-01 10:30,2025-01-01 12:10,True,False,10:30-12:10,SCAT,100
34431,Астана,Шымкент,2024-12-15,2025-01-01 23:20,2025-01-02 01:00,True,False,23:20-01:00,SCAT,100
34431,Астана,Шымкент,2024-12-15,2025-01-01 17:40,2025-01-01 19:30,True,False,17:40-19:30,SCAT,110
34431,Астана,Шымкент,2024-12-15,2025-01-01 08:10,2025-01-01 10:00,True,False,08:10-10:00,SCAT,110
34431,Астана,Шымкент,2024-12-15,2025-01-01 14:10,2025-01-01 15:40,True,False,14:10-15:40,SCAT,90
36531,Астана,Шымкент,2024-12-15,2025-01-01 19:30,2025-01-01 21:20,True,False,19:30-21:20,FlyArystan,110
35788,Астана,Шымкент,2024-12-15,2025-01-02 08:10,2025-01-02 10:00,True,False,08:10-10:00,SCAT,110
35788,Астана,Шымкент,2024-12-15,2025-01-02 23:20,2025-01-03 01:00,True,False,23:20-01:00,SCAT,100
35788,Астана,Шымкент,2024-12-15,2025-01-02 14:10,2025-01-02 15:40,True,False,14:10-15:40,SCAT,90
