Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
19243,Астана,Алматы,2024-12-15,2024-12-22 12:05,2024-12-22 13:45,False,True,12:05-13:45,SCAT,100
19243,Астана,Алматы,2024-12-15,2024-12-22 13:40,2024-12-22 15:35,False,True,13:40-15:35,SCAT,115
19243,Астана,Алматы,2024-12-15,2024-12-22 05:30,2024-12-22 07:15,False,True,05:30-07:15,SCAT,105
19243,Астана,Алматы,2024-12-15,2024-12-22 14:20,2024-12-22 16:00,False,True,14:20-16:00,SCAT,100
19243,Астана,Алматы,2024-12-15,2024-12-22 21:00,2024-12-22 23:00,False,True,21:00-23:00,SCAT,100
19243,Астана,Алматы,2024-12-15,2024-12-22 14:55,2024-12-22 16:25,False,True,14:55-16:25,SCAT,90
21356,Астана,Алматы,2024-12-15,2024-12-22 22:20,2024-12-23 00:15,False,True,22:20-00:15,Air Astana,115
16443,Астана,Алматы,2024-12-15,2024-12-23 10:50,2024-12-23 12:30,False,False,10:50-12:30,SCAT,100
17143,Астана,Алматы,2024-12-15,2024-12-23 22:10,2024-12-24 00:05,False,False,22:10-00:05,SCAT,115
16443,Астана,Алматы,2024-12-15,2024-12-23 19:10,2024-12-23 20:35,False,False,19:10-20:35,SCAT,85
17085,Астана,Алматы,2024-12-15,2024-12-23 14:40,2024-12-23 16:35,False,False,14:40-16:35,Air Astana,115
17085,Астана,Алматы,2024-12-15,2024-12-23 02:05,2024-12-23 03:55,False,False,02:05-03:55,Air Astana,110
19243,Астана,Алматы,2024-12-15,2024-12-23 12:05,2024-12-23 13:45,False,False,12:05-13:45,SCAT,100
19243,Астана,Алматы,2024-12-15,2024-12-23 05:30,2024-12-23 07:15,False,False,05:30-07:15,SCAT,105
19243,Астана,Алматы,2024-12-15,2024-12-23 14:55,2024-12-23 16:25,False,False,14:55-16:25,SCAT,90
21356,Астана,Алматы,2024-12-15,2024-12-23 18:00,2024-12-23 19:50,False,False,18:00-19:50,Air Astana,110
21356,Астана,Алматы,2024-12-15,2024-12-23 07:10,2024-12-23 09:00,False,False,07:10-09:00,Air Astana,110
15243,Астана,Алматы,2024-12-15,2024-12-24 19:10,2024-12-24 20:35,False,False,19:10-20:35,SCAT,85
15243,Астана,Алматы,2024-12-15,2024-12-24 10:50,2024-12-24 12:30,False,False,10:50-12:30,SCAT,100
15243,Астана,Алматы,2024-12-15,2024-12-24 22:10,2024-12-25 00:05,False,False,22:10-00:05,SCAT,115
15743,Астана,Алматы,2024-12-15,2024-12-24 20:00,2024-12-24 22:00,False,False,20:00-22:00,SCAT,115
15743,Астана,Алматы,2024-12-15,2024-12-24 05:30,2024-12-24 07:15,False,False,05:30-07:15,SCAT,105
17085,Астана,Алматы,2024-12-15,2024-12-24 22:20,2024-12-25 00:15,False,False,22:20-00:15,Air Astana,115
17085,Астана,Алматы,2024-12-15,2024-12-24 02:05,2024-12-24 03:55,False,False,02:05-03:55,Air Astana,110
19243,Астана,Алматы,2024-12-15,2024-12-24 13:15,2024-12-24 15:05,False,False,13:15-15:05,SCAT,110
19243,Астана,Алматы,2024-12-15,2024-12-24 14:55,2024-12-24 16:25,False,False,14:55-16:25,SCAT,90
21356,Астана,Алматы,2024-12-15,2024-12-24 16:10,2024-12-24 17:55,False,False,16:10-17:55,Air Astana,105
16443,Астана,Алматы,2024-12-15,2024-12-25 22:10,2024-12-26 00:05,False,False,22:10-00:05,SCAT,115
16443,Астана,Алматы,2024-12-15,2024-12-25 10:50,2024-12-25 12:30,False,False,10:50-12:30,SCAT,100
16443,Астана,Алматы,2024-12-15,2024-12-25 19:10,2024-12-25 20:35,False,False,19:10-20:35,SCAT,85
19243,Астана,Алматы,2024-12-15,2024-12-25 05:30,2024-12-25 07:15,False,False,05:30-07:15,SCAT,105
19243,Астана,Алматы,2024-12-15,2024-12-25 12:05,2024-12-25 13:45,False,False,12:05-13:45,SCAT,100
21356,Астана,Алматы,2024-12-15,2024-12-25 07:10,2024-12-25 09:00,False,False,07:10-09:00,Air Astana,110
22272,Астана,Алматы,2024-12-15,2024-12-25 05:50,2024-12-25 08:00,False,False,05:50-08:00,Qazaq Air,130
22743,Астана,Алматы,2024-12-15,2024-12-25 14:55,2024-12-25 16:25,False,False,14:55-16:25,SCAT,90
24871,Астана,Алматы,2024-12-15,2024-12-25 00:15,2024-12-25 02:00,False,False,00:15-02:00,FlyArystan,105
25627,Астана,Алматы,2024-12-15,2024-12-25 14:40,2024-12-25 16:35,False,False,14:40-16:35,Air Astana,115
26941,Астана,Алматы,2024-12-15,2024-12-26 19:10,2024-12-26 20:35,False,False,19:10-20:35,SCAT,85
27841,Астана,Алматы,2024-12-15,2024-12-26 10:50,2024-12-26 12:30,False,False,10:50-12:30,SCAT,100
26941,Астана,Алматы,2024-12-15,2024-12-26 22:10,2024-12-27 00:05,False,False,22:10-00:05,SCAT,115
29641,Астана,Алматы,2024-12-15,2024-12-26 19:05,2024-12-26 20:50,False,False,19:05-20:50,FlyArystan,105
29743,Астана,Алматы,2024-12-15,2024-12-26 05:30,2024-12-26 07:15,False,False,05:30-07:15,SCAT,105
29743,Астана,Алматы,2024-12-15,2024-12-26 19:30,2024-12-26 21:10,False,False,19:30-21:10,SCAT,100
29898,Астана,Алматы,2024-12-15,2024-12-26 08:45,2024-12-26 10:30,False,False,08:45-10:30,Air Astana,105
29898,Астана,Алматы,2024-12-15,2024-12-26 16:10,2024-12-26 17:55,False,False,16:10-17:55,Air Astana,105
29898,Астана,Алматы,2024-12-15,2024-12-26 20:40,2024-12-26 22:25,False,False,20:40-22:25,Air Astana,105
29898,Астана,Алматы,2024-12-15,2024-12-26 02:05,2024-12-26 03:55,False,False,02:05-03:55,Air Astana,110
29898,Астана,Алматы,2024-12-15,2024-12-27 07:10,2024-12-27 09:00,False,False,07:10-09:00,Air Astana,110
30778,Астана,Алматы,2024-12-15,2024-12-27 22:10,2024-12-28 00:05,False,False,22:10-00:05,SCAT,115
30778,Астана,Алматы,2024-12-15,2024-12-27 10:50,2024-12-27 12:30,False,False,10:50-12:30,SCAT,100
31078,Астана,Алматы,2024-12-15,2024-12-27 19:10,2024-12-27 20:35,False,False,19:10-20:35,SCAT,85
31831,Астана,Алматы,2024-12-15,2024-12-27 08:45,2024-12-27 10:30,False,False,08:45-10:30,Air Astana,105
33743,Астана,Алматы,2024-12-15,2024-12-27 05:30,2024-12-27 07:15,False,False,05:30-07:15,SCAT,105
34633,Астана,Алматы,2024-12-15,2024-12-27 05:50,2024-12-27 08:00,False,False,05:50-08:00,Qazaq Air,130
34941,Астана,Алматы,2024-12-15,2024-12-27 09:05,2024-12-27 11:00,False,False,09:05-11:00,FlyArystan,115
37743,Астана,Алматы,2024-12-15,2024-12-27 12:05,2024-12-27 13:45,False,False,12:05-13:45,SCAT,100
30123,Астана,Алматы,2024-12-15,2024-12-28 19:10,2024-12-28 20:35,False,True,19:10-20:35,SCAT,85
30523,Астана,Алматы,2024-12-15,2024-12-28 22:10,2024-12-29 00:05,False,True,22:10-00:05,SCAT,115
37743,Астана,Алматы,2024-12-15,2024-12-28 18:05,2024-12-28 19:45,False,True,18:05-19:45,SCAT,100
40241,Астана,Алматы,2024-12-15,2024-12-28 00:55,2024-12-28 02:55,False,True,00:55-02:55,FlyArystan,100
45743,Астана,Алматы,2024-12-15,2024-12-28 12:05,2024-12-28 13:45,False,True,12:05-13:45,SCAT,100
49251,Астана,Алматы,2024-12-15,2024-12-28 06:00,2024-12-28 07:55,False,True,06:00-07:55,FlyArystan,115
53679,Астана,Алматы,2024-12-15,2024-12-28 09:05,2024-12-28 11:00,False,True,09:05-11:00,FlyArystan,115
53679,Астана,Алматы,2024-12-15,2024-12-28 00:15,2024-12-28 02:10,False,True,00:15-02:10,FlyArystan,115
27643,Астана,Алматы,2024-12-15,2024-12-29 22:10,2024-12-30 00:05,False,True,22:10-00:05,SCAT,115
37743,Астана,Алматы,2024-12-15,2024-12-29 10:50,2024-12-29 12:30,False,True,10:50-12:30,SCAT,100
27643,Астана,Алматы,2024-12-15,2024-12-29 19:10,2024-12-29 20:35,False,True,19:10-20:35,SCAT,85
29898,Астана,Алматы,2024-12-15,2024-12-29 22:20,2024-12-30 00:15,False,True,22:20-00:15,Air Astana,115
29898,Астана,Алматы,2024-12-15,2024-12-29 02:05,2024-12-29 03:55,False,True,02:05-03:55,Air Astana,110
29898,Астана,Алматы,2024-12-15,2024-12-29 19:25,2024-12-29 21:15,False,True,19:25-21:15,Air Astana,110
31388,Астана,Алматы,2024-12-15,2024-12-29 05:30,2024-12-29 07:15,False,True,05:30-07:15,SCAT,105
31388,Астана,Алматы,2024-12-15,2024-12-29 20:20,2024-12-29 22:00,False,True,20:20-22:00,SCAT,100
33743,Астана,Алматы,2024-12-15,2024-12-29 18:20,2024-12-29 20:05,False,True,18:20-20:05,SCAT,105
34633,Астана,Алматы,2024-12-15,2024-12-29 05:50,2024-12-29 08:00,False,True,05:50-08:00,Qazaq Air,130
31643,Астана,Алматы,2024-12-15,2024-12-30 10:50,2024-12-30 12:30,False,False,10:50-12:30,SCAT,100
31643,Астана,Алматы,2024-12-15,2024-12-30 22:10,2024-12-31 00:05,False,False,22:10-00:05,SCAT,115
33743,Астана,Алматы,2024-12-15,2024-12-30 05:30,2024-12-30 07:15,False,False,05:30-07:15,SCAT,105
34633,Астана,Алматы,2024-12-15,2024-12-30 05:50,2024-12-30 08:00,False,False,05:50-08:00,Qazaq Air,130
37743,Астана,Алматы,2024-12-15,2024-12-30 19:50,2024-12-30 21:25,False,False,19:50-21:25,SCAT,95
37743,Астана,Алматы,2024-12-15,2024-12-30 14:55,2024-12-30 16:25,False,False,14:55-16:25,SCAT,90
41743,Астана,Алматы,2024-12-15,2024-12-30 12:05,2024-12-30 13:45,False,False,12:05-13:45,SCAT,100
41743,Астана,Алматы,2024-12-15,2024-12-30 19:10,2024-12-30 20:35,False,False,19:10-20:35,SCAT,85
53679,Астана,Алматы,2024-12-15,2024-12-30 06:00,2024-12-30 07:55,False,False,06:00-07:55,FlyArystan,115
53679,Астана,Алматы,2024-12-15,2024-12-30 19:05,2024-12-30 20:50,False,False,19:05-20:50,FlyArystan,105
29898,Астана,Алматы,2024-12-15,2024-12-31 02:05,2024-12-31 03:55,False,False,02:05-03:55,Air Astana,110
37743,Астана,Алматы,2024-12-15,2024-12-31 10:50,2024-12-31 12:30,False,False,10:50-12:30,SCAT,100
33743,Астана,Алматы,2024-12-15,2024-12-31 22:10,2025-01-01 00:05,False,False,22:10-00:05,SCAT,115
33743,Астана,Алматы,2024-12-15,2024-12-31 05:30,2024-12-31 07:15,False,False,05:30-07:15,SCAT,105
37743,Астана,Алматы,2024-12-15,2024-12-31 12:20,2024-12-31 14:00,False,False,12:20-14:00,SCAT,100
38584,Астана,Алматы,2024-12-15,2024-12-31 05:50,2024-12-31 08:00,False,False,05:50-08:00,Qazaq Air,130
41743,Астана,Алматы,2024-12-15,2024-12-31 19:20,2024-12-31 21:00,False,False,19:20-21:00,SCAT,100
54030,Астана,Алматы,2024-12-15,2024-12-31 00:15,2024-12-31 02:00,False,False,00:15-02:00,FlyArystan,105
54030,Астана,Алматы,2024-12-15,2024-12-31 19:05,2024-12-31 20:50,False,False,19:05-20:50,FlyArystan,105
54030,Астана,Алматы,2024-12-15,2024-12-31 12:25,2024-12-31 14:15,False,False,12:25-14:15,FlyArystan,110
32831,Астана,Алматы,2024-12-15,2025-01-01 05:30,2025-01-01 07:15,True,False,05:30-07:15,SCAT,105
43864,Астана,Алматы,2024-12-15,2025-01-01 09:55,2025-01-01 11:40,True,False,09:55-11:40,Air Astana,105
38631,Астана,Алматы,2024-12-15,2025-01-01 20:40,2025-01-01 22:25,True,False,20:40-22:25,Air Astana,105
36645,Астана,Алматы,2024-12-15,2025-01-01 14:55,2025-01-01 16:25,True,False,14:55-16:25,SCAT,90
36645,Астана,Алматы,2024-12-15,2025-01-01 22:10,2025-01-02 00:05,True,False,22:10-00:05,SCAT,115
36645,Астана,Алматы,2024-12-15,2025-01-01 12:05,2025-01-01 13:45,True,False,12:05-13:45,SCAT,100
36645,Астана,Алматы,2024-12-15,2025-01-01 19:10,2025-01-01 20:35,True,False,19:10-20:35,SCAT,85
38631,Астана,Алматы,2024-12-15,2025-01-01 22:20,2025-01-02 00:15,True,False,22:20-00:15,Air Astana,115
